full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,70693,70693,11510,13799,13799,2156,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9523,9523,14693,488,488,127,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,39677,39677,6477,24421,24421,4371,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1632,1632,2529,375,375,286,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,49825,49825,4349,8385,8385,868,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,62451,62451,6248,13927,13927,1459,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,35745,35745,2947,2690,2690,297,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,29079,29079,3191,3438,3438,620,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,914,914,1217,130,130,85,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,22872,22872,3285,6534,6534,919,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23203,23203,2709,4683,4683,584,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3249,3249,3824,182,182,53,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2315,2315,3534,116,116,46,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8328,8328,1962,1022,1022,202,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11761,11761,2002,2184,2184,294,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3512,3512,1946,1475,1475,482,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9734,9734,1214,159,159,-3,https://github.com/diet103/claude-code-infrastructure-showcase
pedrohcgs/claude-code-my-workflow,1396,1396,2747,402,402,720,https://github.com/pedrohcgs/claude-code-my-workflow
frankbria/ralph-claude-code,9526,9526,728,653,653,66,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,9193,9193,719,1230,1230,139,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2751,2751,2428,464,464,195,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,787,787,1759,26,26,15,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,3905,3905,792,927,927,115,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5988,5988,560,140,140,18,https://github.com/ChrisWiles/claude-code-showcase
wanshuiyin/Auto-claude-code-research-in-sleep,13281,13281,1200,5674,5674,479,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
huangserva/claude-code-cli,618,618,1309,53,53,12,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3880,3880,564,94,94,10,https://github.com/OneRedOak/claude-code-workflows
FlorianBruniaux/claude-code-ultimate-guide,5413,5413,708,1438,1438,175,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,2932,2932,562,648,648,115,https://github.com/nicedreamzapp/claude-code-local
zebbern/claude-code-guide,4389,4389,445,343,343,51,https://github.com/zebbern/claude-code-guide
1rgs/claude-code-proxy,3682,3682,479,191,191,22,https://github.com/1rgs/claude-code-proxy
anthropics/claude-code-security-review,5520,5520,586,1125,1125,183,https://github.com/anthropics/claude-code-security-review
lorryjovens-hub/claude-code-rust,1667,1667,639,188,188,39,https://github.com/lorryjovens-hub/claude-code-rust
affaan-m/ECC,228676,228676,35073,228676,228676,35073,https://github.com/affaan-m/ECC
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8432,8432,433,629,629,43,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
rohitg00/awesome-claude-code-toolkit,2299,2299,796,850,850,355,https://github.com/rohitg00/awesome-claude-code-toolkit
